Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,14.1077,5.00367,61.0156,-12804.6,-967.529,-3831.12,-189.143,90.1429,2.39435e-06,-3.9613,-0.292973,836.023,-22903.9,-11854.7,612.115,219.18,272.604,2.14111e-06
1,1,14.4128,4.39331,59.7949,-11889,-1089.6,-3831.12,-186.778,101.17,2.75149e-06,-3.9613,-0.903324,832.361,-22720.8,-11854.7,703.668,219.242,272.703,2.15053e-06
2,0,13.8025,7.1399,63.457,-12438.4,-479.247,-3922.67,-197.448,103.988,1.14037e-06,-3.65613,-0.292973,832.361,-22537.7,-12221,429.01,219.682,272.923,2.21696e-06
2,1,15.0232,6.52954,62.8467,-12987.7,-1089.6,-4105.78,-187.663,93.3436,2.61788e-06,-3.65613,-1.2085,831.14,-22903.9,-11976.8,337.457,219.41,272.443,2.17587e-06
3,0,15.0232,6.52954,64.0674,-12621.5,-357.177,-3648.01,-199.425,102.997,8.41805e-07,-4.26648,-0.903324,828.088,-24002.6,-12221,520.563,219.758,271.015,2.2284e-06
3,1,15.0232,7.44507,62.8467,-12804.6,-113.036,-3739.57,-203.201,96.2571,2.71582e-07,-4.57166,-0.903324,830.53,-22537.7,-11976.8,245.905,219.421,272.863,2.17746e-06
4,0,13.1921,6.83472,62.2363,-12255.2,-845.458,-3922.67,-191.415,103.085,2.05122e-06,-4.26648,0.622555,833.581,-22720.8,-12709.2,429.01,220.247,272.743,2.30216e-06
4,1,13.8025,6.22437,62.2363,-11705.9,-357.177,-4014.22,-199.261,111.912,8.66572e-07,-3.65613,-1.51368,830.53,-23270.1,-12831.3,703.668,220.45,271.982,2.33282e-06
5,0,14.4128,6.83472,62.2363,-12804.6,-967.529,-4105.78,-189.454,94.259,2.34739e-06,-3.65613,-1.2085,828.699,-22537.7,-12587.2,520.563,220.189,272.803,2.29349e-06
5,1,15.9387,5.61402,63.457,-12438.4,-723.388,-3739.57,-193.6,103.988,1.7213e-06,-3.9613,-1.51368,830.53,-23087,-12343,703.668,219.862,272.202,2.24404e-06
