Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,13.8025,5.30884,62.8467,-12438.4,-1089.6,-3739.57,-187.663,102.084,2.61788e-06,0,0,0,0,0,0,205,300,0
1,1,14.718,5.30884,64.6777,-12804.6,-113.036,-3648.01,-203.252,102.025,2.63893e-07,0,0,0,0,0,0,205,300,0
2,0,13.1921,6.22437,66.5088,-11522.8,-723.388,-4105.78,-194.123,126.747,1.64232e-06,0,0,0,0,0,0,205,300,0
2,1,13.8025,6.22437,66.5088,-12255.2,-601.318,-3739.57,-195.959,115.735,1.36518e-06,0,0,0,0,0,0,205,300,0
3,0,14.1077,6.22437,61.626,-12804.6,-967.529,-3831.12,-189.3,92.2213,2.37064e-06,0,0,0,0,0,0,205,300,0
3,1,15.6335,5.91919,62.2363,-13170.8,-1089.6,-3831.12,-187.493,88.3748,2.64355e-06,0,0,0,0,0,0,205,300,0
4,0,12.8869,6.22437,62.8467,-11705.9,-601.318,-3922.67,-195.432,113.738,1.44473e-06,0,0,0,0,0,0,205,300,0
4,1,14.4128,5.91919,59.7949,-12804.6,-357.177,-3739.57,-199.027,85.8587,9.01954e-07,0,0,0,0,0,0,205,300,0
5,0,14.4128,5.00367,62.8467,-13903.2,-601.318,-3922.67,-195.432,78.776,1.44473e-06,0,0,0,0,0,0,205,300,0
5,1,14.1077,4.08814,62.8467,-12438.4,-723.388,-4197.33,-193.49,102.084,1.73802e-06,0,0,0,0,0,0,205,300,0
6,0,12.8869,5.00367,64.0674,-12987.7,-113.036,-3648.01,-203.236,97.2811,2.66407e-07,0,0,0,0,0,0,205,300,0
6,1,16.8542,3.47779,64.6777,-11705.9,-601.318,-3922.67,-195.703,119.011,1.40383e-06,0,0,0,0,0,0,205,300,0
7,0,13.4973,4.69849,64.6777,-12621.5,-1089.6,-3648.01,-188.153,104.856,2.54376e-06,0,0,0,0,0,0,205,300,0
7,1,15.3284,5.30884,64.6777,-12072.1,-601.318,-4105.78,-195.703,113.349,1.40383e-06,0,0,0,0,0,0,205,300,0
8,0,14.718,5.61402,66.5088,-12621.5,-723.388,-3922.67,-194.123,110.229,1.64232e-06,0,0,0,0,0,0,205,300,0
8,1,12.5818,4.08814,62.8467,-12987.7,-479.247,-3831.12,-197.374,93.3436,1.15144e-06,0,0,0,0,0,0,205,300,0
9,0,12.5818,6.52954,62.8467,-12072.1,-601.318,-3556.46,-195.432,107.911,1.44473e-06,0,0,0,0,0,0,205,300,0
9,1,12.2766,5.00367,55.5225,-13537,-357.177,-3648.01,-198.567,56.189,9.71359e-07,0,0,0,0,0,0,205,300,0
10,0,11.3611,5.91919,57.3535,-13353.9,-1211.67,-3831.12,-183.874,67.1655,3.18999e-06,0,0,0,0,0,0,205,300,0
10,1,9.53002,5.91919,56.7432,-13353.9,-845.458,-4014.22,-190.1,64.661,2.2498e-06,0,0,0,0,0,0,205,300,0
11,0,11.9714,5.30884,61.0156,-12804.6,-601.318,-3922.67,-195.145,90.1429,1.48809e-06,0,0,0,0,0,0,205,300,0
11,1,10.7507,5.00367,59.7949,-12072.1,9.03388,-4288.88,-205.151,98.1076,-2.28126e-08,0,0,0,0,0,0,205,300,0
12,0,14.1077,4.69849,63.457,-12255.2,-845.458,-3831.12,-191.677,106.873,2.01177e-06,0,0,0,0,0,0,205,300,0
12,1,15.0232,4.69849,61.626,-13353.9,-479.247,-4197.33,-197.223,83.3076,1.17425e-06,0,0,0,0,0,0,205,300,0
13,0,14.4128,5.30884,62.8467,-12804.6,-601.318,-3922.67,-195.432,96.2571,1.44473e-06,0,0,0,0,0,0,205,300,0
13,1,15.9387,6.22437,61.626,-12621.5,-113.036,-4105.78,-203.166,95.1926,2.76962e-07,0,0,0,0,0,0,205,300,0
14,0,14.4128,5.61402,64.6777,-12804.6,-235.107,-4105.78,-201.365,102.025,5.48877e-07,0,0,0,0,0,0,205,300,0
14,1,16.5491,7.75025,62.2363,-12987.7,-357.177,-3739.57,-199.261,91.3169,8.66572e-07,0,0,0,0,0,0,205,300,0
15,0,14.1077,7.44507,66.5088,-12438.4,-601.318,-4014.22,-195.959,112.982,1.36518e-06,0,0,0,0,0,0,205,300,0
15,1,14.718,7.44507,61.626,-11889,253.175,-3648.01,-209.108,107.078,-6.20328e-07,0,0,0,0,0,0,205,300,0
16,0,15.3284,5.91919,64.6777,-11889,-113.036,-3922.67,-203.252,116.18,2.63893e-07,0,0,0,0,0,0,205,300,0
16,1,13.4973,6.22437,66.5088,-12438.4,-479.247,-3922.67,-197.794,112.982,1.08804e-06,0,0,0,0,0,0,205,300,0
17,0,12.2766,6.52954,67.1191,-12438.4,-1333.74,-3739.57,-185.129,114.682,3.00047e-06,0,0,0,0,0,0,205,300,0
17,1,12.5818,4.39331,69.5605,-11705.9,-479.247,-3922.67,-198.11,131.716,1.04031e-06,0,0,0,0,0,0,205,300,0
18,0,13.4973,6.83472,67.7295,-12804.6,-845.458,-3831.12,-192.517,110.946,1.88486e-06,0,0,0,0,0,0,205,300,0
18,1,13.1921,7.1399,61.626,-13353.9,-235.107,-4014.22,-201.185,83.3076,5.76058e-07,0,0,0,0,0,0,205,300,0
19,0,12.8869,8.05542,65.2881,-12072.1,-845.458,-4105.78,-192.05,115.094,1.95534e-06,0,0,0,0,0,0,205,300,0
19,1,15.3284,7.44507,61.626,-11705.9,-601.318,-3831.12,-195.242,110.049,1.47335e-06,0,0,0,0,0,0,205,300,0
20,0,12.2766,5.61402,65.2881,-11889,-357.177,-3922.67,-199.529,117.899,8.26066e-07,0,0,0,0,0,0,205,300,0
20,1,13.8025,5.91919,61.626,-12621.5,-1211.67,-4105.78,-185.338,95.1926,2.96883e-06,0,0,0,0,0,0,205,300,0
21,0,16.5491,4.08814,64.0674,-12255.2,-1455.81,-3831.12,-182.277,108.713,3.43109e-06,0,0,0,0,0,0,205,300,0
21,1,15.0232,6.83472,68.3398,-13170.8,-1455.81,-3831.12,-183.698,107.275,3.21659e-06,0,0,0,0,0,0,205,300,0
22,0,15.3284,6.52954,64.6777,-12621.5,-235.107,-4197.33,-201.365,104.856,5.48877e-07,0,0,0,0,0,0,205,300,0
22,1,13.4973,6.52954,66.5088,-12438.4,-479.247,-3922.67,-197.794,112.982,1.08804e-06,0,0,0,0,0,0,205,300,0
23,0,14.4128,7.75025,63.457,-12255.2,-967.529,-3556.46,-189.753,106.873,2.30223e-06,0,0,0,0,0,0,205,300,0
23,1,12.5818,5.61402,62.2363,-12438.4,9.03388,-3831.12,-205.145,100.143,-2.19177e-08,0,0,0,0,0,0,205,300,0
24,0,14.1077,8.66578,62.2363,-12804.6,-357.177,-3739.57,-199.261,94.259,8.66572e-07,0,0,0,0,0,0,205,300,0
24,1,10.7507,6.83472,65.8984,-12438.4,-1089.6,-3922.67,-188.465,111.25,2.49664e-06,0,0,0,0,0,0,205,300,0
25,0,11.0559,5.91919,64.0674,-12987.7,-967.529,-3648.01,-189.898,97.2811,2.2803e-06,0,0,0,0,0,0,205,300,0
25,1,12.2766,6.22437,65.2881,-12255.2,-1089.6,-3831.12,-188.311,112.29,2.51998e-06,0,0,0,0,0,0,205,300,0
26,0,13.1921,5.91919,65.2881,-12072.1,-479.247,-3831.12,-197.66,115.094,1.10839e-06,0,0,0,0,0,0,205,300,0
26,1,14.4128,8.05542,65.2881,-12621.5,-845.458,-3739.57,-192.05,106.681,1.95534e-06,0,0,0,0,0,0,205,300,0
27,0,14.4128,5.91919,67.1191,-12621.5,-113.036,-3922.67,-203.316,111.954,2.54294e-07,0,0,0,0,0,0,205,300,0
27,1,14.1077,6.22437,68.9502,-12072.1,-723.388,-3831.12,-194.509,124.915,1.58417e-06,0,0,0,0,0,0,205,300,0
28,0,14.718,4.39331,65.2881,-12255.2,-723.388,-3831.12,-193.92,112.29,1.67302e-06,0,0,0,0,0,0,205,300,0
28,1,14.4128,4.39331,62.8467,-13353.9,-113.036,-3098.7,-203.201,87.5165,2.71582e-07,0,0,0,0,0,0,205,300,0
29,0,13.8025,5.61402,62.8467,-12621.5,-967.529,-3739.57,-189.605,99.1706,2.32459e-06,0,0,0,0,0,0,205,300,0
29,1,15.3284,6.52954,64.6777,-12255.2,-479.247,-3739.57,-197.59,110.518,1.11884e-06,0,0,0,0,0,0,205,300,0
30,0,15.0232,8.05542,59.1846,-13170.8,-845.458,-3739.57,-190.715,77.4627,2.15699e-06,0,0,0,0,0,0,205,300,0
30,1,13.1921,5.61402,62.8467,-13353.9,253.175,-4014.22,-209.028,87.5165,-6.08279e-07,0,0,0,0,0,0,205,300,0
31,0,14.1077,5.30884,61.0156,-12072.1,-113.036,-3281.8,-203.147,102.147,2.79732e-07,0,0,0,0,0,0,205,300,0
31,1,15.3284,6.83472,61.0156,-12072.1,-845.458,-4105.78,-191.144,102.147,2.09226e-06,0,0,0,0,0,0,205,300,0
