Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,13.8025,6.83472,62.8467,-12255.2,-601.318,-3922.67,-195.432,104.998,1.44473e-06,-2.13023,-0.292973,719.446,-12833.1,-3798.11,612.117,210.279,282.162,7.97139e-07
1,1,14.4128,5.91919,61.626,-12072.1,9.03388,-4105.78,-205.147,104.106,-2.21348e-08,-3.65611,-0.292973,726.16,-12650,-3920.18,337.459,210.399,282.58,8.15152e-07
2,0,13.8025,4.08814,62.8467,-11889,-479.247,-4105.78,-197.374,110.825,1.15144e-06,-2.74058,-0.292973,724.939,-12650,-3676.04,978.328,210.071,282.55,7.65673e-07
2,1,14.718,5.61402,61.0156,-12255.2,-845.458,-3831.12,-191.144,99.1457,2.09226e-06,-3.65611,0.622555,724.329,-12833.1,-3431.9,703.67,209.738,282.283,7.15424e-07
3,0,14.4128,5.30884,60.4053,-12621.5,-723.388,-3739.57,-193.024,91.0537,1.80826e-06,-5.18199,0.0122031,721.887,-13016.2,-3553.97,795.222,209.923,281.969,7.43376e-07
3,1,15.6335,6.52954,63.457,-12621.5,-1211.67,-3739.57,-185.906,101.102,2.88316e-06,-3.04576,0.0122031,721.887,-12833.1,-3920.18,520.564,210.43,282.223,8.19976e-07
4,0,14.718,5.91919,59.7949,-11889,-967.529,-3831.12,-188.819,101.17,2.44323e-06,-3.04576,-0.292973,724.329,-13016.2,-3920.18,795.222,210.412,282.03,8.17212e-07
4,1,14.1077,5.61402,61.626,-12438.4,-845.458,-4014.22,-191.281,98.1638,2.07154e-06,-5.18199,-1.2085,724.939,-12833.1,-3920.18,703.67,210.408,282.298,8.16524e-07
5,0,13.4973,7.44507,59.7949,-11522.8,-235.107,-4105.78,-201.068,107.294,5.93698e-07,-3.35094,-0.598148,725.549,-12833.1,-3920.18,520.564,210.403,282.313,8.15837e-07
5,1,14.718,7.1399,63.457,-12987.7,-845.458,-3922.67,-191.677,95.3313,2.01177e-06,-3.04576,-0.598148,721.277,-12650,-3676.04,62.8006,210.097,282.462,7.6956e-07
6,0,14.718,5.00367,59.7949,-12804.6,-357.177,-3648.01,-199.027,85.8587,9.01954e-07,-2.74058,0.622555,721.887,-12833.1,-4042.25,337.459,210.6,282.223,8.45509e-07
6,1,13.8025,7.1399,64.0674,-12255.2,-235.107,-3922.67,-201.33,108.713,5.54106e-07,-2.74058,0.317379,720.666,-13382.4,-3920.18,612.117,210.44,281.43,8.21365e-07
7,0,11.6662,7.1399,62.8467,-12987.7,-357.177,-3556.46,-199.317,93.3436,8.58156e-07,-3.35094,0.0122031,718.835,-12833.1,-3920.18,795.222,210.454,282.147,8.23457e-07
7,1,16.5491,5.30884,60.4053,-12804.6,-357.177,-3831.12,-199.087,88.0224,8.9284e-07,-2.74058,-0.292973,721.887,-12650,-3676.04,886.775,210.092,282.476,7.6891e-07
8,0,13.4973,5.91919,60.4053,-12987.7,-601.318,-3648.01,-195.045,84.9911,1.50312e-06,-3.96129,-1.51368,723.718,-13016.2,-4042.25,154.353,210.585,282.015,8.4337e-07
8,1,14.1077,4.39331,58.5742,-12621.5,-479.247,-3922.67,-196.818,84.522,1.23543e-06,-2.74058,-0.903324,722.497,-12833.1,-4042.25,703.67,210.595,282.238,8.44795e-07
9,0,11.6662,6.22437,60.4053,-13353.9,-601.318,-3922.67,-195.045,78.9286,1.50312e-06,-4.87681,-0.598148,723.718,-13565.6,-3920.18,520.564,210.417,281.256,8.17902e-07
9,1,12.8869,6.52954,61.0156,-12621.5,-479.247,-4105.78,-197.146,93.1438,1.186e-06,-4.26646,-0.292973,721.277,-12833.1,-3920.18,703.67,210.435,282.208,8.2067e-07
10,0,11.9714,5.91919,59.7949,-12255.2,-1211.67,-3922.67,-184.736,95.0453,3.05974e-06,-3.35094,0.622555,726.77,-12650,-4042.25,429.012,210.562,282.594,8.39829e-07
10,1,14.4128,5.91919,61.626,-12621.5,-845.458,-3556.46,-191.281,95.1926,2.07154e-06,-2.74058,-0.903324,724.329,-12650,-4042.25,886.775,210.581,282.536,8.4266e-07
11,0,14.1077,5.91919,61.626,-13537,-1089.6,-3739.57,-187.319,80.3364,2.66973e-06,-2.43541,0.0122031,720.666,-13016.2,-3798.11,520.564,210.27,281.939,7.95789e-07
11,1,13.1921,6.83472,64.6777,-12804.6,-723.388,-3648.01,-193.816,102.025,1.68881e-06,-4.26646,-0.292973,724.939,-12100.7,-3798.11,62.8007,210.239,283.308,7.91099e-07
12,0,14.718,6.52954,59.1846,-12804.6,-479.247,-3922.67,-196.902,83.6503,1.22269e-06,-4.26646,0.0122031,727.38,-12650,-4042.25,337.459,210.557,282.609,8.39124e-07
12,1,13.8025,6.83472,59.7949,-13170.8,-113.036,-3556.46,-203.11,79.7342,2.85443e-07,-4.26646,0.0122031,727.991,-12650,-3920.18,337.459,210.385,282.623,8.13101e-07
13,0,13.1921,5.30884,59.7949,-12987.7,-235.107,-3831.12,-201.068,82.7965,5.93698e-07,-4.87681,-0.598148,723.718,-13382.4,-3309.82,886.775,209.573,281.509,6.90558e-07
13,1,14.1077,6.83472,57.9639,-12072.1,-479.247,-3922.67,-196.732,91.7299,1.24844e-06,-3.35094,-0.598148,724.329,-13199.3,-4164.32,703.67,210.749,281.777,8.68107e-07
14,0,13.8025,5.61402,60.4053,-11889,-845.458,-3831.12,-191.004,103.179,2.1134e-06,-2.74058,-0.292973,723.718,-13016.2,-4164.32,429.012,210.754,282.015,8.68839e-07
14,1,13.8025,6.83472,61.0156,-13170.8,-845.458,-3831.12,-191.144,84.1409,2.09226e-06,-3.35094,-0.903324,725.549,-13016.2,-4286.39,245.906,210.908,282.06,8.9205e-07
