"event","experiment time","system time","system time text"
"START",0.000000000E0,1636120935.947,"2021-11-05 11:02:15.947 UTC-03:00"
"PAUSE",9.568102602E0,1636120945.515,"2021-11-05 11:02:25.515 UTC-03:00"
