time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
08:47:02:253;-0,0099;0,0309;0,0103;0,034
08:47:02:259;-0,0871;-0,0264;-0,0595;0,109
08:47:02:264;-0,1865;-0,2100;0,4227;0,507
08:47:02:274;-0,1643;-0,2341;0,3896;0,483
08:47:02:281;-0,1495;-0,3608;-0,2047;0,441
08:47:02:289;-0,5073;-1,0382;-0,5499;1,280
08:47:02:297;0,1092;-0,9108;-0,4742;1,033
08:47:02:305;0,3721;-0,8154;0,0133;0,896
08:47:02:313;0,2682;-0,8020;0,2842;0,892
08:47:02:321;0,2249;-1,0548;0,2207;1,101
08:47:02:329;-0,0579;-1,3946;0,2595;1,420
08:47:02:337;-0,4066;-1,6235;0,3061;1,701
08:47:02:345;-0,3796;-1,6897;0,1826;1,741
08:47:02:353;-0,2963;-1,4581;0,1219;1,493
08:47:02:362;-0,1170;-0,9376;0,1515;0,957
08:47:02:369;0,1411;-0,4802;0,0915;0,509
08:47:02:377;0,4263;-0,0374;0,0275;0,429
08:47:02:385;0,5573;0,3500;-0,0268;0,659
08:47:02:394;0,4427;0,7540;-0,0664;0,877
08:47:02:403;0,1572;1,2463;-0,2159;1,275
08:47:02:410;-0,0490;1,7226;-0,2732;1,745
08:47:02:418;-0,0793;1,9583;-0,3355;1,988
08:47:02:426;-0,0317;2,1846;-0,1974;2,194
08:47:02:434;0,1724;2,3186;-0,0151;2,325
08:47:02:443;0,1464;2,4297;0,1219;2,437
08:47:02:454;0,0513;1,8783;0,1378;1,884
08:47:02:458;-0,0767;0,0342;0,3088;0,320
08:47:02:467;-0,2793;-0,4103;0,2545;0,558
08:47:02:474;-0,1613;-0,1642;0,3320;0,404
08:47:02:482;-0,0409;0,0236;0,1264;0,135
08:47:02:491;-0,0565;-0,0452;0,0316;0,079
08:47:02:499;-0,0491;-0,0766;0,0943;0,131
08:47:02:507;-0,0843;-0,0515;0,2693;0,287
08:47:02:515;0,0044;-0,0481;0,2505;0,255
08:47:02:523;0,0095;-0,0596;0,1993;0,208
08:47:02:531;-0,0399;-0,0716;0,1443;0,166
08:47:02:539;-0,1491;-0,1245;-0,0061;0,194
08:47:02:547;0,0065;0,0840;-0,0470;0,096
08:47:02:556;-0,0245;0,1527;-0,0095;0,155
08:47:02:563;0,0231;0,0763;-0,0293;0,085
08:47:02:571;0,0180;-0,0663;0,0261;0,073
08:47:02:579;0,0677;-0,1653;0,0901;0,200
08:47:02:587;-0,1173;-0,2063;0,1289;0,270
08:47:02:595;-0,0654;-0,1059;0,0573;0,137
08:47:02:603;0,1995;-0,6968;0,1139;0,734
08:47:02:612;-0,2182;-1,6886;0,2897;1,727
08:47:02:619;0,0393;-1,1920;0,1727;1,205
08:47:02:627;0,0529;-0,3924;0,1059;0,410
08:47:02:635;0,0138;0,0977;0,0595;0,115
08:47:02:644;0,0226;0,4066;0,0856;0,416
08:47:02:653;-0,0289;0,6497;0,1046;0,659
08:47:02:659;-0,1278;0,5788;0,1053;0,602
08:47:02:667;-0,1932;0,3639;0,1449;0,437
08:47:02:676;-0,1657;0,2972;0,1466;0,370
08:47:02:683;-0,0711;0,3666;0,0869;0,383
08:47:02:692;0,0707;0,4527;0,0417;0,460
08:47:02:700;0,1077;0,4627;0,0839;0,482
08:47:02:708;0,0613;0,3965;0,1016;0,414
08:47:02:716;-0,1570;0,2705;0,2075;0,375
08:47:02:724;-0,1702;0,0631;0,1867;0,260
08:47:02:733;-0,1266;-0,0344;0,1519;0,201
08:47:02:740;-0,2399;-0,2087;0,1653;0,358
08:47:02:748;-0,1598;-0,6221;0,1303;0,655
08:47:02:756;0,3001;-1,1638;0,2682;1,231
08:47:02:764;0,0903;-0,4922;0,1365;0,519
08:47:02:772;0,0386;0,0850;0,0405;0,102
08:47:02:780;0,0272;0,3795;0,0764;0,388
08:47:02:788;-0,0081;0,6330;0,0052;0,633
08:47:02:796;-0,0306;0,6638;-0,0300;0,665
08:47:02:804;-0,0147;0,5896;0,0035;0,590
08:47:02:812;0,0079;0,4060;0,0765;0,413
08:47:02:821;-0,0645;0,0858;0,1087;0,153
08:47:02:829;-0,0840;-0,0457;0,0939;0,134
08:47:02:837;-0,0486;-0,0194;0,1180;0,129
08:47:02:845;-0,0777;0,0045;0,1086;0,134
08:47:02:855;-0,0376;0,0236;0,1063;0,115
08:47:02:860;-0,0049;0,0737;0,1210;0,142
08:47:02:869;0,0042;0,0135;0,0595;0,061
08:47:02:877;0,0322;-0,0347;0,0674;0,082
08:47:02:885;-0,0040;-0,0897;0,1295;0,158
08:47:02:893;0,0363;-0,0848;0,1054;0,140
08:47:02:901;-0,0023;0,0041;0,1454;0,146
08:47:02:909;-0,0144;0,0595;0,1088;0,125
08:47:02:917;-0,0501;0,0691;0,0658;0,108
08:47:02:925;-0,0952;-0,0314;0,1063;0,146
08:47:02:934;-0,1665;-0,1461;0,0867;0,238
08:47:02:941;0,1058;-0,9896;0,1625;1,008
08:47:02:953;-0,2251;-1,4364;0,0360;1,454
08:47:02:964;0,1665;-0,8890;0,0954;0,909
08:47:02:966;0,2418;-0,3697;0,1632;0,471
08:47:02:974;0,0598;0,1322;0,0262;0,147
08:47:02:981;-0,0374;0,4056;-0,0537;0,411
08:47:02:989;-0,0169;0,5853;-0,0154;0,586
08:47:02:998;0,0538;0,6048;-0,0233;0,608
08:47:03:006;0,0478;0,5436;0,0011;0,546
08:47:03:014;0,0970;0,4396;0,0319;0,451
08:47:03:022;0,0985;0,3475;0,0726;0,368
08:47:03:030;-0,0071;0,3866;0,0783;0,394
08:47:03:038;-0,0907;0,2673;0,0941;0,298
08:47:03:050;-0,2460;0,0136;0,0819;0,260
08:47:03:055;-0,3271;-0,2954;0,1063;0,453
08:47:03:062;-0,4439;-1,0953;0,0947;1,186
08:47:03:070;-0,0721;-1,8459;0,1523;1,854
08:47:03:078;-0,1015;-1,2681;0,0695;1,274
08:47:03:086;0,0879;-0,5896;0,1779;0,622
08:47:03:094;0,2459;0,2966;0,0673;0,391
08:47:03:102;0,2932;1,0219;-0,1287;1,071
08:47:03:110;0,1956;1,4127;-0,1560;1,435
08:47:03:118;0,0934;1,4405;-0,0942;1,447
08:47:03:126;0,1376;1,3058;-0,0018;1,313
08:47:03:134;0,0702;0,7048;0,0725;0,712
08:47:03:144;0,0135;-0,0182;0,0605;0,065
08:47:03:155;0,0475;-0,1407;0,0038;0,149
08:47:03:160;0,0218;-0,1552;0,0734;0,173
08:47:03:166;-0,0277;-0,3414;0,1919;0,393
08:47:03:175;-0,1204;-0,2501;0,0883;0,291
08:47:03:182;-0,2684;-0,4463;0,0090;0,521
08:47:03:192;-0,1433;-1,3409;0,1416;1,356
08:47:03:199;0,0782;-1,0551;0,0944;1,062
08:47:03:207;0,2024;-0,2071;0,1751;0,338
08:47:03:215;0,2483;0,4100;0,0950;0,489
08:47:03:223;0,0895;0,9202;-0,0850;0,928
08:47:03:231;-0,0088;1,0691;-0,0596;1,071
08:47:03:239;-0,0209;0,9145;-0,0090;0,915
08:47:03:247;-0,0787;0,7153;0,0208;0,720
08:47:03:256;0,0167;0,3179;0,0375;0,321
08:47:03:264;0,0718;0,0450;0,0301;0,090
08:47:03:272;0,0861;-0,0076;0,0133;0,087
08:47:03:279;0,0381;-0,0264;0,0533;0,071
08:47:03:288;-0,1102;-0,1002;0,0429;0,155
08:47:03:296;-0,1177;-0,2386;0,0467;0,270
08:47:03:304;-0,3667;-0,4056;0,0695;0,551
08:47:03:312;-0,3646;-0,6492;0,0515;0,746
08:47:03:320;-0,4960;-1,3132;0,0653;1,405
08:47:03:327;0,0590;-1,2082;0,1621;1,220
08:47:03:336;0,0790;-0,2874;0,1787;0,347
08:47:03:346;0,2698;0,5195;0,0496;0,587
08:47:03:353;0,3076;1,0255;-0,0402;1,071
08:47:03:360;0,2254;1,1393;-0,0712;1,164
08:47:03:369;0,1302;1,0834;-0,0503;1,092
08:47:03:376;0,0291;0,7932;-0,0469;0,795
08:47:03:384;-0,0234;0,1325;-0,0446;0,142
08:47:03:392;0,0172;-0,0179;-0,0049;0,025
08:47:03:400;0,1155;0,0526;0,0243;0,129
08:47:03:409;0,1113;0,1542;0,0124;0,191
08:47:03:417;0,0787;0,1674;0,0243;0,187
08:47:03:424;0,0105;0,1709;0,0436;0,177
08:47:03:434;-0,0147;0,1643;0,0231;0,167
08:47:03:440;-0,0013;0,1286;0,0179;0,130
08:47:03:448;-0,0500;0,1476;0,0061;0,156
08:47:03:456;-0,0750;0,1928;-0,0077;0,207
08:47:03:464;-0,1551;0,2544;-0,0186;0,299
08:47:03:472;-0,1830;0,2561;0,0115;0,315
08:47:03:481;-0,2108;0,2430;-0,0198;0,322
08:47:03:489;-0,1381;0,2269;0,0051;0,266
08:47:03:497;-0,0606;0,1985;0,0330;0,210
08:47:03:505;0,0001;0,2199;0,0189;0,221
08:47:03:513;0,0607;0,1811;0,0127;0,191
08:47:03:521;-0,0315;0,0868;-0,0143;0,093
08:47:03:529;-0,0444;0,0521;-0,0574;0,089
08:47:03:537;-0,0429;0,0676;-0,0742;0,109
08:47:03:546;-0,0079;0,1002;-0,0868;0,133
08:47:03:556;-0,0067;0,0949;-0,0356;0,102
08:47:03:561;-0,0149;0,0731;-0,0374;0,083
08:47:03:568;-0,0663;0,0202;-0,0752;0,102
08:47:03:579;-0,0817;0,0846;-0,0460;0,126
08:47:03:586;-0,0571;0,1586;-0,0409;0,173
08:47:03:593;-0,0204;0,1634;-0,0671;0,178
08:47:03:601;0,0427;0,0774;-0,0675;0,111
08:47:03:609;0,0676;0,0109;-0,0447;0,082
08:47:03:618;0,0973;-0,0529;-0,0391;0,118
08:47:03:626;0,0244;-0,0830;-0,0126;0,087
08:47:03:633;-0,0870;-0,0147;-0,0415;0,097
08:47:03:641;0,0335;0,0681;-0,0395;0,086
08:47:03:649;-0,0805;0,0052;-0,0285;0,086
08:47:03:657;-0,0819;-0,0483;-0,0342;0,101
08:47:03:665;-0,0766;0,0013;-0,0400;0,086
08:47:03:675;-0,0305;0,0296;-0,0081;0,043
08:47:03:682;-0,0371;0,0463;0,0065;0,060
08:47:03:690;0,0448;0,1731;-0,0054;0,179
08:47:03:699;-0,4079;-0,2508;-0,0221;0,479
08:47:03:706;0,1161;-0,2557;-0,1414;0,314
08:47:03:714;0,2553;-0,0490;0,2496;0,360
08:47:03:723;-0,1568;0,2551;-0,0379;0,302
08:47:03:730;-0,0750;0,1158;-0,1615;0,212
08:47:03:739;-0,0988;0,0775;0,0299;0,129
08:47:03:747;-0,0509;0,0155;0,0559;0,077
08:47:03:757;-0,0171;-0,0062;-0,0541;0,057
08:47:03:763;-0,0095;0,0083;-0,0256;0,029
08:47:03:770;-0,0332;0,0540;0,0267;0,069
08:47:03:778;-0,0311;0,0588;0,0171;0,069
08:47:03:787;-0,0387;0,0395;-0,0472;0,073
08:47:03:795;-0,0532;0,0730;-0,0448;0,101
08:47:03:803;-0,0677;0,0923;-0,0068;0,115
08:47:03:811;-0,0673;0,1282;-0,0045;0,145
08:47:03:819;-0,0854;0,1162;0,0124;0,145
08:47:03:827;-0,0485;0,0898;0,0029;0,102
08:47:03:836;-0,0213;0,0466;0,0294;0,059
08:47:03:846;0,0201;0,0155;0,0316;0,041
08:47:03:856;0,0372;0,0228;0,0554;0,070
08:47:03:861;0,0251;0,0444;0,0647;0,082
08:47:03:868;0,0294;0,0445;0,0527;0,075
08:47:03:877;0,0167;0,0469;0,0288;0,057
08:47:03:883;0,0329;0,0086;0,0600;0,069
08:47:03:891;0,0418;0,0251;0,0316;0,058
08:47:03:900;0,0484;0,0058;0,0081;0,049
08:47:03:908;0,0336;0,0008;0,0181;0,038
08:47:03:917;0,0217;0,0005;0,0020;0,022
08:47:03:924;0,0216;0,0265;0,0003;0,034
08:47:03:932;0,0242;0,0381;0,0083;0,046
08:47:03:940;0,0434;0,0400;-0,0100;0,060
08:47:03:948;0,0436;0,0516;-0,0068;0,068
08:47:03:958;0,0390;0,0465;0,0011;0,061
08:47:03:964;0,0583;0,0293;0,0139;0,067
08:47:03:972;0,0417;0,0337;0,0075;0,054
08:47:03:980;0,0370;0,0381;-0,0085;0,054
08:47:03:988;0,0274;0,0544;-0,0028;0,061
08:47:03:996;0,0085;0,0683;0,0197;0,072
08:47:04:004;0,0064;0,0679;0,0205;0,071
08:47:04:012;0,0260;0,0795;-0,0027;0,084
08:47:04:020;0,0479;0,0505;0,0363;0,078
08:47:04:029;0,0722;0,0476;0,0060;0,087
08:47:04:036;0,0222;0,0473;-0,0148;0,054
08:47:04:044;-0,0204;0,0589;-0,0022;0,062
08:47:04:057;-0,0172;0,0897;-0,0015;0,091
08:47:04:067;-0,0114;0,0533;-0,0102;0,055
08:47:04:069;0,0329;0,0363;-0,0025;0,049
08:47:04:077;0,0528;0,0288;0,0124;0,061
08:47:04:085;0,0175;0,0429;0,0152;0,049
08:47:04:093;-0,0178;0,0403;0,0204;0,049
08:47:04:101;-0,0271;0,0736;-0,0103;0,079
08:47:04:108;-0,0314;0,0806;-0,0220;0,089
08:47:04:117;-0,0258;0,0638;-0,0218;0,072
08:47:04:125;0,0157;0,0660;-0,0119;0,069
08:47:04:133;0,0021;0,0467;-0,0044;0,047
08:47:04:141;-0,0042;0,0513;0,0078;0,052
08:47:04:149;-0,0033;0,0631;0,0034;0,063
08:47:04:158;0,0003;0,0653;-0,0035;0,065
08:47:04:165;-0,0083;0,0556;-0,0058;0,057
08:47:04:173;0,0142;0,0580;0,0062;0,060
08:47:04:181;-0,0016;0,0651;0,0063;0,065
08:47:04:189;-0,0078;0,0698;0,0040;0,070
08:47:04:197;-0,0094;0,0386;0,0089;0,041
08:47:04:205;-0,0086;0,0434;0,0040;0,044
08:47:04:214;-0,0173;0,0506;0,0087;0,054
08:47:04:222;-0,0237;0,0027;0,0375;0,044
08:47:04:230;-0,0084;0,0361;0,0209;0,043
08:47:04:238;-0,0122;0,0647;0,0353;0,075
08:47:04:246;-0,0112;0,0765;0,0309;0,083
08:47:04:255;0,0594;0,1001;0,0388;0,123
08:47:04:264;0,0341;0,1187;0,0398;0,130
08:47:04:269;-0,0197;0,1254;0,0575;0,139
08:47:04:278;-0,0398;0,1248;0,0466;0,139
08:47:04:286;-0,0647;0,1192;0,0243;0,138
08:47:04:294;0,0036;0,1423;0,0594;0,154
08:47:04:302;0,0577;0,1439;0,0372;0,159
08:47:04:311;0,0113;0,1119;0,0340;0,118
08:47:04:318;-0,0060;0,0294;0,0338;0,045
08:47:04:326;-0,0474;-0,0387;-0,0454;0,076
08:47:04:334;-0,0727;-0,0420;-0,0293;0,089
