time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
08:47:05:326;0,0020;-0,0146;0,0371;0,040
08:47:05:333;-0,0045;0,0089;0,0427;0,044
08:47:05:340;-0,0112;0,0156;0,0437;0,048
08:47:05:348;-0,0203;0,0462;0,0304;0,059
08:47:05:357;-0,0200;0,0338;0,0481;0,062
08:47:05:367;0,0066;0,0596;0,0346;0,069
08:47:05:372;-0,0004;0,0783;0,0429;0,089
08:47:05:380;0,0021;0,0563;0,0461;0,073
08:47:05:389;-0,0265;0,0416;0,0253;0,055
08:47:05:397;-0,0265;0,0268;0,0239;0,045
08:47:05:405;-0,0124;0,0335;0,0225;0,042
08:47:05:413;-0,0105;0,0234;0,0187;0,032
08:47:05:421;-0,0298;0,0276;0,0390;0,056
08:47:05:429;-0,0133;0,0438;0,0499;0,068
08:47:05:438;0,0056;0,0383;0,0179;0,043
08:47:05:446;0,0173;0,0471;0,0146;0,052
08:47:05:453;-0,0046;0,0872;0,0302;0,092
08:47:05:461;0,0047;0,0723;-0,0070;0,073
08:47:05:470;-0,0339;0,0622;0,0325;0,078
08:47:05:477;-0,0722;0,0735;0,0242;0,106
08:47:05:485;-0,0458;0,0633;0,0207;0,081
08:47:05:494;-0,0146;0,0483;0,0005;0,050
08:47:05:501;0,0354;0,0239;-0,0009;0,043
08:47:05:510;0,0207;0,0234;0,0168;0,036
08:47:05:518;-0,0490;0,0253;0,0394;0,068
08:47:05:526;-0,0518;0,0464;0,0165;0,071
08:47:05:535;-0,0592;0,0459;0,0199;0,077
08:47:05:541;-0,0497;0,0310;0,0138;0,060
08:47:05:550;-0,0374;0,0521;0,0196;0,067
08:47:05:558;-0,0325;0,0446;0,0107;0,056
08:47:05:567;-0,0372;0,0729;-0,0028;0,082
08:47:05:574;-0,0540;0,0462;0,0171;0,073
08:47:05:581;-0,0206;0,0554;0,0083;0,060
08:47:05:591;0,0006;0,0720;-0,0154;0,074
08:47:05:598;-0,0189;0,0935;-0,0247;0,099
08:47:05:607;-0,0454;0,0599;-0,0173;0,077
08:47:05:614;-0,0768;0,0286;-0,0027;0,082
08:47:05:623;-0,0625;0,0405;-0,0122;0,075
08:47:05:630;-0,0386;0,0788;0,0047;0,088
08:47:05:639;-0,0669;0,0883;0,0383;0,117
08:47:05:647;-0,0716;0,0978;0,0504;0,131
08:47:05:655;-0,1312;0,1239;0,0030;0,181
08:47:05:666;-0,1575;0,0950;0,0202;0,185
08:47:05:678;-0,1551;0,0494;0,0300;0,166
08:47:05:679;-0,1478;0,0374;0,0397;0,158
08:47:05:687;-0,1428;0,0468;-0,0008;0,150
08:47:05:695;-0,1435;0,0659;-0,0030;0,158
08:47:05:703;-0,1277;0,0730;0,0068;0,147
08:47:05:711;-0,1287;0,0753;0,0215;0,151
08:47:05:719;-0,1274;0,0633;0,0168;0,143
08:47:05:727;-0,1095;0,0465;0,0193;0,120
08:47:05:735;-0,0901;0,0416;0,0195;0,101
08:47:05:743;-0,1091;0,0368;0,0340;0,120
08:47:05:751;-0,0830;0,0439;0,0389;0,102
08:47:05:759;-0,0667;0,0463;0,0221;0,084
08:47:05:769;-0,0483;0,0439;0,0341;0,074
08:47:05:776;0,0150;0,0368;0,0220;0,045
08:47:05:784;0,0180;0,0202;0,0363;0,045
08:47:05:791;0,0348;0,0395;0,0385;0,065
08:47:05:800;0,0276;0,0492;0,0503;0,076
08:47:05:808;0,0368;0,0422;0,0118;0,057
08:47:05:816;0,0270;0,0471;0,0309;0,062
08:47:05:823;0,0413;0,0208;0,0287;0,054
08:47:05:832;0,0365;0,0112;0,0288;0,048
08:47:05:840;0,0392;0,0496;0,0359;0,073
08:47:05:849;0,0491;0,0185;-0,0023;0,052
08:47:05:856;0,0640;0,0352;0,0435;0,085
08:47:05:868;0,0528;0,0376;0,0004;0,065
08:47:05:878;0,0416;0,0617;0,0384;0,084
08:47:05:880;0,0544;0,0714;0,0623;0,109
08:47:05:889;0,0745;0,0762;0,0719;0,129
08:47:05:897;0,1092;0,0523;0,0456;0,129
08:47:05:904;0,1750;0,0236;0,0791;0,194
08:47:05:912;0,1523;0,0045;0,0335;0,156
08:47:05:920;0,1463;0,0095;-0,0098;0,147
08:47:05:928;0,1067;0,0168;0,0116;0,109
08:47:05:936;0,1054;0,0073;-0,0148;0,107
08:47:05:944;0,0851;0,0742;-0,0480;0,123
08:47:05:953;0,0797;0,1196;-0,0335;0,148
08:47:05:961;0,0554;0,1293;-0,0121;0,141
08:47:05:969;0,0459;0,1223;0,0234;0,133
08:47:05:979;0,0392;0,0889;0,0135;0,098
08:47:05:986;0,0760;0,0867;0,0154;0,116
08:47:05:993;0,0935;0,1109;0,0339;0,149
08:47:06:001;0,0916;0,0921;0,0284;0,133
08:47:06:009;0,0960;0,0518;0,0397;0,116
08:47:06:017;0,0836;0,0401;0,0415;0,102
08:47:06:025;0,0520;0,0021;0,0409;0,066
08:47:06:033;0,0422;0,0047;0,0405;0,059
08:47:06:041;0,0233;0,0120;0,0234;0,035
08:47:06:050;0,0405;0,0194;0,0038;0,045
08:47:06:057;0,0315;0,0603;-0,0109;0,069
08:47:06:067;-0,0039;0,0965;0,0100;0,097
08:47:06:076;-0,0057;0,0990;0,0192;0,101
08:47:06:081;-0,0291;0,1016;0,0068;0,106
08:47:06:090;-0,0073;0,0682;0,0280;0,074
08:47:06:097;-0,0190;0,0374;0,0322;0,053
08:47:06:105;0,0028;0,0234;0,0267;0,036
08:47:06:114;0,0080;-0,0050;0,0163;0,019
08:47:06:122;0,0181;0,0410;0,0010;0,045
08:47:06:130;0,0235;0,0630;0,0047;0,067
08:47:06:137;0,0335;0,0635;0,0203;0,075
08:47:06:146;0,0270;0,0786;0,0092;0,084
08:47:06:155;0,0040;0,0698;0,0147;0,071
08:47:06:162;-0,0286;0,0946;0,0082;0,099
08:47:06:170;0,0131;0,0452;0,0040;0,047
08:47:06:178;0,0141;0,0676;-0,0315;0,076
08:47:06:186;0,0337;0,0425;0,0018;0,054
08:47:06:195;-0,0186;0,0245;0,0306;0,043
08:47:06:203;-0,0566;0,0183;-0,0026;0,060
08:47:06:210;-0,0828;0,0264;0,0171;0,089
08:47:06:218;-0,0826;0,0512;-0,0470;0,108
08:47:06:226;-0,0606;0,0522;-0,0395;0,089
08:47:06:234;-0,0246;0,0725;0,0229;0,080
08:47:06:243;-0,0483;0,1118;0,0591;0,135
08:47:06:251;-0,0290;0,0935;0,0861;0,130
08:47:06:258;-0,0174;0,0896;0,1130;0,145
08:47:06:270;-0,0297;0,0762;0,1494;0,170
08:47:06:275;-0,0754;0,0483;0,1189;0,149
08:47:06:282;-0,0515;-0,0108;0,1676;0,176
08:47:06:290;0,0008;-0,0724;0,1041;0,127
08:47:06:299;-0,0089;-0,1054;0,1342;0,171
08:47:06:307;-0,0140;-0,1173;0,0911;0,149
08:47:06:315;-0,0071;-0,0914;0,0512;0,105
08:47:06:323;-0,0362;-0,0633;0,0550;0,091
08:47:06:332;-0,0340;-0,0404;0,0690;0,087
08:47:06:339;-0,0317;0,0039;0,0643;0,072
08:47:06:347;-0,0364;0,0598;0,0315;0,077
08:47:06:355;-0,0101;0,0702;0,0061;0,071
08:47:06:363;-0,0412;0,0779;0,0483;0,100
08:47:06:371;-0,0390;0,0948;-0,0070;0,103
08:47:06:379;-0,0349;0,1763;-0,0047;0,180
08:47:06:387;0,0191;0,1357;-0,0165;0,138
08:47:06:395;-0,0229;0,1621;-0,0499;0,171
08:47:06:403;-0,0387;0,1265;-0,0312;0,136
08:47:06:412;-0,0350;0,1194;0,0071;0,125
08:47:06:420;0,0308;0,1265;-0,0116;0,131
08:47:06:428;0,0129;0,1359;0,0154;0,137
08:47:06:436;0,0724;0,1092;-0,0243;0,133
08:47:06:444;0,0697;0,0297;-0,0710;0,104
08:47:06:452;0,1485;0,0271;0,0039;0,151
08:47:06:460;0,1985;0,1130;0,0047;0,228
08:47:06:467;0,0692;0,1436;-0,0874;0,182
08:47:06:478;0,0930;0,1191;-0,1505;0,213
08:47:06:484;0,0928;0,2165;-0,2254;0,326
08:47:06:491;0,0853;0,2372;-0,3742;0,451
08:47:06:500;0,0654;0,2266;-0,5320;0,582
08:47:06:508;0,0857;0,2105;-0,6310;0,671
08:47:06:517;0,0054;0,2051;-0,7536;0,781
08:47:06:524;-0,0290;0,2749;-0,8203;0,866
08:47:06:533;-0,0392;0,4088;-0,9219;1,009
08:47:06:540;-0,0329;0,5736;-0,9654;1,123
08:47:06:548;-0,0353;0,7144;-1,0135;1,241
08:47:06:557;-0,1255;0,8316;-1,0601;1,353
08:47:06:566;-0,1190;0,9159;-1,2683;1,569
08:47:06:576;-0,0832;0,8571;-1,4393;1,677
08:47:06:580;-0,0334;0,9324;-1,7014;1,940
08:47:06:588;-0,1823;0,8006;-1,9609;2,126
08:47:06:597;0,0194;0,8663;-2,1561;2,324
08:47:06:604;0,0274;0,9557;-2,4059;2,589
08:47:06:612;0,0146;0,9562;-2,6406;2,808
08:47:06:621;-0,1056;0,9535;-2,9670;3,118
08:47:06:629;-0,1457;0,9376;-3,3624;3,494
08:47:06:637;-0,2814;0,9167;-3,6568;3,780
08:47:06:645;-0,6176;0,5147;-4,0507;4,130
08:47:06:653;-0,6472;0,2738;-4,2876;4,345
08:47:06:662;-0,3635;0,2086;-4,5564;4,576
08:47:06:669;-0,2899;-0,4829;-4,9071;4,939
08:47:06:679;-0,2239;-0,9855;-5,3054;5,401
08:47:06:686;-0,2989;-1,4135;-5,6366;5,819
08:47:06:693;-0,3261;-2,0727;-5,9156;6,277
08:47:06:701;-0,3633;-2,7186;-6,2388;6,815
08:47:06:709;-0,5439;-3,2691;-6,5326;7,325
08:47:06:717;-0,6891;-3,8193;-6,7978;7,828
08:47:06:726;-0,6430;-4,2733;-6,8520;8,101
08:47:06:733;-0,5132;-4,4777;-7,0300;8,351
08:47:06:741;-0,3372;-4,5137;-7,2577;8,553
08:47:06:750;-0,0570;-4,5410;-7,3702;8,657
08:47:06:758;0,0997;-4,3618;-7,3881;8,580
08:47:06:768;0,2471;-4,1757;-7,4050;8,505
08:47:06:780;-0,2966;-4,2067;-7,4810;8,588
08:47:06:782;-0,4449;-5,1163;-7,4137;9,019
08:47:06:791;-0,6650;-5,8559;-7,3745;9,440
08:47:06:798;-0,9489;-6,5769;-6,9779;9,636
08:47:06:805;-0,9041;-7,0616;-6,5778;9,693
08:47:06:815;-0,5617;-7,3606;-6,2000;9,640
08:47:06:822;-0,0454;-7,4117;-5,5331;9,249
08:47:06:830;0,1826;-6,8810;-4,8058;8,395
08:47:06:838;-0,1307;-6,2548;-4,1252;7,494
08:47:06:846;-0,4200;-5,9823;-3,5861;6,987
08:47:06:854;-0,6264;-5,9085;-3,2865;6,790
08:47:06:863;-0,6479;-5,6226;-2,9725;6,393
08:47:06:871;-0,2203;-5,7884;-2,7423;6,409
08:47:06:882;0,3733;-5,5444;-2,5762;6,125
08:47:06:887;0,3769;-5,1300;-1,7869;5,445
08:47:06:895;0,2260;-4,6433;-0,6497;4,694
08:47:06:902;0,0081;-4,2322;0,1855;4,236
08:47:06:911;-0,3364;-3,9233;0,6761;3,995
08:47:06:919;-0,3614;-3,3666;1,2029;3,593
08:47:06:927;-0,1953;-2,6632;1,7429;3,189
08:47:06:935;-0,3299;-2,1634;2,5774;3,381
08:47:06:943;-0,3795;-1,9208;3,1181;3,682
08:47:06:951;-0,3344;-1,5738;3,3577;3,723
08:47:06:960;-0,3138;-1,3376;3,8022;4,043
08:47:06:968;-0,0868;-1,2305;4,2245;4,401
08:47:06:978;0,3137;-0,9909;4,1096;4,239
08:47:06:983;0,4300;-0,6769;4,4311;4,503
08:47:06:990;0,3170;-0,4113;5,2185;5,244
08:47:06:999;0,2309;-0,1019;5,5505;5,556
08:47:07:008;0,3014;0,0059;5,9804;5,988
08:47:07:015;0,2901;0,2617;6,8130;6,824
08:47:07:023;0,1807;0,4508;7,1217;7,138
08:47:07:031;0,2106;0,9693;7,8109;7,874
08:47:07:040;0,3954;1,4513;8,8361;8,963
08:47:07:048;0,4790;1,8213;9,6305;9,813
08:47:07:057;0,5307;1,8533;10,5464;10,721
08:47:07:064;0,4571;1,7964;11,6180;11,765
08:47:07:072;0,3004;1,7384;12,5584;12,682
08:47:07:080;0,1101;1,8195;14,0230;14,141
08:47:07:088;-0,1230;2,1781;15,3125;15,467
08:47:07:096;-0,0813;2,1951;16,2349;16,383
08:47:07:104;0,1607;2,2042;17,6157;17,754
08:47:07:112;0,1309;2,2057;18,7147;18,845
08:47:07:120;0,2744;2,4270;19,7640;19,914
08:47:07:128;0,5780;2,5616;20,2161;20,386
08:47:07:136;0,8895;2,8410;20,6937;20,907
08:47:07:144;1,2377;2,9372;20,9081;21,150
08:47:07:152;0,8875;2,7895;20,8486;21,053
08:47:07:160;0,4842;2,5936;20,6052;20,773
08:47:07:168;0,0777;2,3867;20,4733;20,612
08:47:07:184;0,0396;2,0154;20,2728;20,373
08:47:07:186;0,0227;1,7101;19,9106;19,984
08:47:07:192;0,2205;1,5626;19,6951;19,758
08:47:07:200;0,7302;1,5225;19,3644;19,438
08:47:07:209;1,4101;1,8238;18,6277;18,770
08:47:07:217;1,8816;2,3246;17,5105;17,764
08:47:07:225;2,4648;2,7252;16,4122;16,818
08:47:07:233;2,9451;3,0179;15,1722;15,747
08:47:07:241;2,8719;3,2557;14,5001;15,136
08:47:07:250;2,2729;3,5758;14,3293;14,943
08:47:07:258;1,2442;3,6493;13,7627;14,293
08:47:07:265;0,0310;4,2516;13,2455;13,911
08:47:07:278;-1,1033;4,6085;13,2126;14,037
08:47:07:281;-1,6928;4,6451;12,5985;13,534
08:47:07:295;-1,2745;4,9793;11,9559;13,014
08:47:07:298;-0,5250;6,5919;11,6278;13,377
08:47:07:305;-0,2848;8,5169;10,0611;13,185
08:47:07:313;0,5118;9,8699;10,1249;14,149
08:47:07:321;2,5226;9,7382;10,0878;14,246
08:47:07:329;3,4357;7,7513;10,2693;13,317
08:47:07:337;2,3600;3,7781;9,3947;10,397
08:47:07:345;0,5229;0,1914;7,6421;7,662
08:47:07:354;-1,8546;-2,5345;3,4722;4,682
08:47:07:362;-3,0776;-4,3631;-2,0679;5,726
08:47:07:369;-2,2060;-6,2290;-6,9560;9,594
08:47:07:382;-0,3424;-8,1556;-11,4296;14,045
08:47:07:386;0,4760;-9,6038;-15,4433;18,192
08:47:07:394;0,5100;-11,6813;-19,3311;22,592
08:47:07:402;0,8543;-14,2974;-20,2921;24,838
08:47:07:410;2,1057;-16,6916;-19,2513;25,567
08:47:07:418;4,0606;-17,9362;-19,5689;26,854
08:47:07:426;6,6814;-15,4791;-21,7725;27,537
08:47:07:434;4,3456;-4,5805;-19,1527;20,167
08:47:07:442;1,4764;1,9932;-12,8699;13,107
08:47:07:450;-1,6762;3,9806;-8,7887;9,793
08:47:07:458;-4,2811;2,2058;-6,1203;7,788
08:47:07:466;-4,5061;-2,2216;-5,1640;7,205
08:47:07:478;-3,4727;-5,9747;-4,5351;8,266
08:47:07:494;-2,8001;-8,8131;-3,0225;9,729
08:47:07:497;-2,2302;-10,8670;-2,9873;11,489
08:47:07:499;-2,0559;-13,0915;-4,5030;13,996
08:47:07:507;-2,3054;-14,2890;-5,6578;15,540
08:47:07:515;-1,6741;-14,3312;-5,9761;15,617
08:47:07:523;-0,7313;-12,8671;-6,2680;14,331
08:47:07:531;-0,2201;-11,1262;-6,5602;12,918
08:47:07:539;0,3559;-8,8263;-5,5594;10,437
08:47:07:547;0,8794;-6,7218;-4,6586;8,226
08:47:07:555;0,5456;-4,9608;-3,6267;6,169
08:47:07:563;0,0000;-3,9961;-2,9683;4,978
08:47:07:571;0,0439;-4,3037;-2,4330;4,944
08:47:07:587;0,3614;-6,4589;-1,8011;6,715
08:47:07:589;0,5717;-8,7567;-1,9899;8,998
08:47:07:595;0,2280;-10,6143;-2,5297;10,914
08:47:07:603;-0,1797;-11,9163;-3,1078;12,316
08:47:07:611;-0,5545;-12,9852;-3,4123;13,438
08:47:07:619;-1,0889;-13,2439;-4,0874;13,903
08:47:07:627;-0,9590;-12,1129;-4,4962;12,956
08:47:07:635;-0,7401;-10,8322;-4,6105;11,796
08:47:07:644;0,4784;-9,3778;-4,8325;10,561
08:47:07:651;1,2042;-7,7254;-4,3443;8,945
08:47:07:660;1,1307;-6,7646;-4,1007;7,991
08:47:07:669;0,6275;-6,4874;-4,0533;7,675
08:47:07:684;0,1506;-6,7422;-4,1751;7,932
08:47:07:686;-0,4356;-7,3659;-4,3781;8,580
08:47:07:692;-0,9745;-7,9948;-4,6929;9,321
08:47:07:700;-1,2584;-8,4727;-5,1281;9,983
08:47:07:708;-1,1735;-8,6826;-5,5485;10,371
08:47:07:717;-0,7924;-8,6935;-5,8691;10,519
08:47:07:724;-0,4460;-8,5358;-6,0314;10,461
08:47:07:732;-0,0730;-8,4246;-6,1056;10,405
08:47:07:740;0,1841;-8,1078;-6,0906;10,142
08:47:07:749;0,3056;-8,0158;-5,9371;9,980
08:47:07:757;0,3712;-7,8381;-5,8113;9,764
08:47:07:764;0,3713;-7,6919;-5,7348;9,602
08:47:07:772;0,3497;-7,6081;-5,6219;9,466
08:47:07:781;0,3542;-7,6368;-5,5615;9,454
08:47:07:788;0,3136;-7,7826;-5,5511;9,565
08:47:07:796;0,1426;-7,9890;-5,6921;9,810
08:47:07:804;-0,0010;-8,3921;-6,1909;10,429
08:47:07:812;-0,1823;-8,8218;-6,6453;11,046
08:47:07:820;-0,3292;-9,0555;-6,8514;11,360
08:47:07:829;-0,2759;-9,0910;-7,5344;11,811
08:47:07:838;-0,2205;-8,7953;-8,2820;12,083
08:47:07:845;-0,3437;-8,2688;-8,5170;11,876
08:47:07:852;-0,5071;-7,8583;-8,6342;11,686
08:47:07:861;-0,7367;-7,3379;-8,9179;11,572
08:47:07:873;-0,8918;-6,8096;-9,0509;11,362
08:47:07:877;-0,5826;-6,7304;-9,5334;11,684
08:47:07:890;-0,3166;-6,6913;-9,7790;11,853
08:47:07:893;-0,2359;-6,7932;-9,8773;11,990
08:47:07:901;-0,1114;-7,1648;-10,1721;12,443
08:47:07:909;0,0459;-7,5635;-10,2446;12,734
08:47:07:917;0,2521;-8,0477;-10,3279;13,096
08:47:07:925;0,3291;-8,4831;-10,4623;13,473
08:47:07:933;0,4396;-9,0337;-10,2485;13,669
08:47:07:941;0,3825;-9,6331;-9,7524;13,713
08:47:07:949;0,1182;-10,5322;-8,2532;13,381
08:47:07:957;-0,1706;-11,6617;-5,1925;12,767
08:47:07:966;-0,2031;-12,0484;-1,9174;12,202
08:47:07:974;-0,9822;-9,0249;-2,5348;9,425
08:47:07:981;-2,6013;-1,8470;0,8539;3,303
08:47:07:990;-2,8222;5,7467;3,5399;7,316
08:47:07:997;-1,7241;12,8712;3,2828;13,395
08:47:08:005;-0,6975;18,8635;11,3395;22,020
08:47:08:014;-0,7591;19,6458;12,5480;23,323
08:47:08:022;0,0763;13,0301;12,6851;18,185
08:47:08:030;0,5937;3,6875;17,4201;17,816
08:47:08:038;2,6337;0,6582;19,0460;19,238
08:47:08:047;4,4090;0,7351;19,4477;19,955
08:47:08:055;3,6055;3,6180;17,3638;18,100
08:47:08:062;1,1732;4,1825;16,7554;17,309
08:47:08:070;0,3214;1,5051;14,7286;14,809
08:47:08:085;0,6025;-0,6962;14,0370;14,067
08:47:08:086;0,9004;-0,1967;13,6072;13,638
08:47:08:094;0,9961;0,9873;14,2718;14,341
08:47:08:103;0,7128;2,4712;14,0091;14,243
08:47:08:110;-0,0267;3,1667;16,7550;17,052
08:47:08:118;-0,6360;2,8736;13,5292;13,846
08:47:08:127;-1,4200;2,4825;16,9476;17,187
08:47:08:135;0,1870;2,0758;17,0135;17,141
08:47:08:143;0,8195;2,1310;16,5019;16,659
08:47:08:151;0,5111;2,1389;15,6145;15,769
08:47:08:160;-0,1052;1,2068;15,8197;15,866
08:47:08:167;-0,3610;-0,0840;15,2880;15,292
08:47:08:175;-0,5298;-1,2657;14,6491;14,713
08:47:08:183;-0,6794;-1,7655;13,9981;14,125
08:47:08:192;-0,8663;-1,8754;13,2659;13,426
08:47:08:199;-1,2409;-1,3936;12,8903;13,025
08:47:08:207;-1,2784;-0,2714;12,2987;12,368
08:47:08:215;-1,2144;0,7178;11,6708;11,756
08:47:08:224;-1,2346;1,2116;10,9292;11,065
08:47:08:231;-1,3733;1,0526;10,0606;10,208
08:47:08:239;-1,6293;0,7384;9,3707;9,540
08:47:08:248;-1,6741;0,6915;8,5361;8,726
08:47:08:255;-1,6661;0,9783;7,6472;7,887
08:47:08:264;-1,6108;1,4841;6,8322;7,175
08:47:08:272;-1,3676;1,7469;6,2301;6,613
08:47:08:288;-1,1871;1,8471;5,5554;5,974
08:47:08:289;-1,0221;1,7256;5,2748;5,643
08:47:08:296;-0,7240;1,5028;4,9977;5,269
08:47:08:304;-0,5376;1,2508;4,7144;4,907
08:47:08:311;-0,5223;1,0289;4,4371;4,585
08:47:08:320;-0,5661;0,9532;4,1749;4,320
08:47:08:328;-0,5486;0,9581;3,8875;4,041
08:47:08:336;-0,6325;0,9270;3,6966;3,863
08:47:08:344;-0,7184;1,0020;3,3673;3,586
08:47:08:353;-0,8049;0,9415;3,1844;3,417
08:47:08:360;-0,8844;0,8101;3,1143;3,337
08:47:08:368;-0,9020;0,6982;2,8773;3,095
08:47:08:377;-0,8842;0,5418;2,7004;2,893
08:47:08:387;-0,8440;0,3839;2,5383;2,702
08:47:08:392;-0,6849;0,0962;2,2887;2,391
08:47:08:405;-0,6060;-0,1582;2,0448;2,139
08:47:08:408;-0,5828;-0,3714;1,6674;1,805
08:47:08:416;-0,4981;-0,5096;1,3192;1,499
08:47:08:424;-0,3520;-0,5324;1,0408;1,221
08:47:08:432;-0,1456;-0,7014;0,9021;1,152
08:47:08:440;0,0009;-0,7807;0,8662;1,166
08:47:08:449;-0,0011;-0,8116;0,6824;1,060
08:47:08:457;-0,1682;-0,8664;0,5257;1,027
08:47:08:465;-0,3101;-0,9057;0,2988;1,003
08:47:08:473;-0,2916;-1,1487;0,1751;1,198
08:47:08:494;-0,1958;-1,4548;-0,0120;1,468
08:47:08:496;-0,2924;-1,5788;-0,1551;1,613
08:47:08:497;-0,2035;-1,6751;-0,4612;1,749
08:47:08:506;-0,1282;-1,7467;-0,7148;1,892
08:47:08:513;-0,0721;-1,7760;-0,9290;2,006
08:47:08:521;-0,0746;-1,8034;-1,2462;2,193
08:47:08:529;-0,0854;-1,8792;-1,5246;2,421
08:47:08:537;-0,1244;-1,8574;-1,6939;2,517
08:47:08:546;-0,1929;-1,8483;-1,8684;2,635
08:47:08:553;-0,2660;-1,8006;-1,9341;2,656
08:47:08:562;-0,3234;-1,8305;-1,9879;2,722
08:47:08:570;-0,2985;-1,8987;-2,0333;2,798
08:47:08:580;-0,2654;-1,9879;-2,1257;2,922
08:47:08:599;-0,2511;-2,0818;-2,1905;3,032
08:47:08:601;-0,2940;-2,2022;-2,1867;3,117
08:47:08:603;-0,3277;-2,3306;-2,1806;3,208
08:47:08:610;-0,3116;-2,4223;-2,2145;3,297
08:47:08:618;-0,3055;-2,3985;-2,2882;3,329
08:47:08:625;-0,2756;-2,3881;-2,2751;3,310
08:47:08:634;-0,2624;-2,3532;-2,1416;3,193
08:47:08:642;-0,2017;-2,2257;-2,2164;3,148
08:47:08:650;-0,1960;-2,1545;-2,3461;3,191
08:47:08:658;-0,1277;-2,0861;-2,3735;3,163
08:47:08:666;-0,0542;-2,0347;-2,2537;3,037
08:47:08:674;-0,0214;-1,9165;-2,2065;2,923
08:47:08:682;-0,0541;-1,7936;-2,2134;2,849
08:47:08:690;-0,1042;-1,7167;-2,1662;2,766
08:47:08:698;-0,1577;-1,6020;-2,1246;2,666
08:47:08:705;-0,2360;-1,5744;-2,0931;2,630
08:47:08:714;-0,3107;-1,4785;-2,0740;2,566
08:47:08:723;-0,4436;-1,3160;-1,9818;2,420
08:47:08:731;-0,4742;-1,0852;-1,8757;2,218
08:47:08:739;-0,2740;-0,8310;-1,9337;2,122
08:47:08:748;-0,0426;-0,6992;-1,8569;1,985
08:47:08:755;0,2535;-0,7492;-1,6294;1,811
08:47:08:763;0,3588;-0,8232;-1,5478;1,789
08:47:08:771;0,3737;-0,8316;-1,5794;1,824
08:47:08:779;0,3724;-0,8029;-1,6238;1,849
08:47:08:798;0,3496;-0,7705;-1,6262;1,833
08:47:08:800;0,3076;-0,8254;-1,5700;1,800
08:47:08:806;0,2796;-0,8551;-1,5865;1,824
08:47:08:812;0,2301;-0,9513;-1,6057;1,880
08:47:08:819;0,2618;-1,0466;-1,6038;1,933
08:47:08:828;0,1479;-1,0237;-1,5117;1,832
08:47:08:835;0,1567;-0,9928;-1,5521;1,849
08:47:08:844;0,0870;-0,9152;-1,6153;1,859
08:47:08:852;0,1114;-0,8339;-1,6392;1,843
08:47:08:859;0,1220;-0,7634;-1,5761;1,755
08:47:08:867;0,1375;-0,7466;-1,5864;1,759
08:47:08:876;0,1864;-0,7043;-1,5245;1,690
08:47:08:883;0,3494;-0,7005;-1,3605;1,570
08:47:08:892;0,4015;-0,5633;-1,3329;1,502
08:47:08:900;0,4443;-0,4078;-1,3218;1,453
08:47:08:907;0,4368;-0,3132;-1,1717;1,289
08:47:08:915;0,3164;-0,1022;-1,0906;1,140
08:47:08:924;0,1810;0,0412;-1,0197;1,036
08:47:08:932;0,1366;0,0757;-0,9051;0,919
08:47:08:940;0,1474;0,0587;-0,8260;0,841
08:47:08:948;0,2011;-0,0628;-0,6812;0,713
08:47:08:956;0,2025;-0,0182;-0,5786;0,613
08:47:08:964;0,2495;0,0200;-0,5876;0,639
08:47:08:973;0,2586;0,0469;-0,6142;0,668
08:47:08:980;0,2848;0,0527;-0,5842;0,652
08:47:08:998;0,1626;0,0793;-0,4320;0,468
08:47:09:000;0,1099;0,0183;-0,2764;0,298
08:47:09:007;0,0543;0,0053;-0,1527;0,162
08:47:09:013;0,0165;0,0506;-0,0885;0,103
08:47:09:020;0,0340;0,1079;0,0303;0,117
08:47:09:028;0,0083;0,0975;0,1117;0,148
08:47:09:036;-0,0095;0,0410;0,1220;0,129
08:47:09:044;-0,0728;-0,0487;0,1216;0,150
08:47:09:052;-0,0539;-0,0929;0,0639;0,125
08:47:09:060;-0,0250;-0,1198;0,0291;0,126
08:47:09:069;-0,0602;-0,0955;0,0593;0,128
08:47:09:080;-0,0966;-0,1246;0,1219;0,199
08:47:09:101;-0,1212;-0,1049;0,0751;0,177
08:47:09:103;-0,0998;-0,1116;0,0307;0,153
08:47:09:104;-0,0683;-0,1227;0,0263;0,143
08:47:09:108;-0,0531;-0,1549;0,0353;0,167
08:47:09:117;-0,0685;-0,1533;0,0319;0,171
08:47:09:125;-0,0671;-0,1467;-0,0463;0,168
08:47:09:133;-0,1042;-0,1211;-0,1310;0,207
08:47:09:141;-0,2057;-0,1004;-0,1559;0,277
08:47:09:149;-0,2164;-0,1345;-0,1259;0,284
08:47:09:157;-0,2077;-0,2140;-0,1298;0,325
08:47:09:165;-0,2060;-0,2788;-0,0840;0,357
08:47:09:173;-0,2352;-0,2929;-0,0270;0,377
08:47:09:181;-0,2206;-0,2878;-0,0541;0,367
08:47:09:199;-0,2416;-0,1987;-0,0578;0,318
08:47:09:200;-0,1713;-0,1593;-0,0265;0,235
08:47:09:205;-0,2536;-0,0410;-0,1150;0,281
08:47:09:213;-0,3065;0,0439;-0,1080;0,328
08:47:09:221;-0,3467;0,0452;-0,1159;0,368
08:47:09:230;-0,3074;0,0300;-0,0979;0,324
08:47:09:238;-0,3008;0,0053;-0,0301;0,302
08:47:09:245;-0,2866;-0,0072;0,0731;0,296
08:47:09:254;-0,3031;0,0141;0,1304;0,330
