"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.938228190E-1,-4.227999747E-1,-3.799999878E-2,-3.197999895E-1,5.314845734E-1
6.037493810E-1,-5.054000020E-1,-7.999999821E-2,-2.480999976E-1,5.686675396E-1
6.136759440E-1,-4.620999992E-1,-8.949999511E-2,-7.479999959E-2,4.765938505E-1
6.236025060E-1,-3.319000006E-1,-1.096999943E-1,9.089999646E-2,3.611848675E-1
6.335290690E-1,-2.730000019E-1,-1.855999976E-1,2.212999910E-1,3.974292971E-1
6.434556310E-1,-2.236999869E-1,-2.150999904E-1,2.004999965E-1,3.694725140E-1
6.533806310E-1,-1.354999989E-1,-2.436999977E-1,1.878999919E-1,3.362385247E-1
6.633071940E-1,-1.842999905E-1,-2.329999954E-1,1.849000007E-1,3.499192687E-1
6.732337560E-1,-2.320999950E-1,-1.847999990E-1,1.952999979E-1,3.551950682E-1
6.831603190E-1,-4.539999962E-1,-1.776999980E-1,1.306999922E-1,5.047531811E-1
6.930868810E-1,-5.353999734E-1,-5.219999701E-2,4.459999874E-2,5.397843376E-1
7.030134440E-1,-5.640000105E-1,2.259999886E-2,-2.919999883E-2,5.652074059E-1
7.129384440E-1,-5.782999992E-1,-6.719999760E-2,0.000000000E0,5.821913163E-1
7.228650060E-1,-6.042000055E-1,-9.009999782E-2,1.508999914E-1,6.292427701E-1
7.327931310E-1,-4.765999913E-1,5.319999903E-2,3.423999846E-1,5.892499818E-1
7.427181310E-1,-4.869999886E-1,4.839999974E-2,3.306999803E-1,5.906555898E-1
7.526446940E-1,-4.185999930E-1,1.700000018E-1,2.423999906E-1,5.127218643E-1
7.625712560E-1,-5.166000128E-1,1.919000000E-1,2.066999972E-1,5.885797075E-1
7.724978190E-1,-5.151999593E-1,2.225999981E-1,1.334999949E-1,5.768916760E-1
7.824228190E-1,-4.253999889E-1,2.913999856E-1,-6.199999712E-3,5.156719327E-1
7.923493810E-1,-3.170000017E-1,3.005000055E-1,-1.732999980E-1,4.699171668E-1
8.022759440E-1,-1.506000012E-1,2.994999886E-1,-1.923999935E-1,3.865208416E-1
8.122025060E-1,-6.430000067E-2,2.689999938E-1,-5.429999903E-2,2.818580789E-1
8.221290690E-1,5.130000040E-2,3.066999912E-1,-3.289999813E-2,3.126963136E-1
8.320556310E-1,1.074999943E-1,3.145000041E-1,-6.939999759E-2,3.395332988E-1
8.419806310E-1,1.836999953E-1,3.018999994E-1,-1.433999985E-1,3.813828227E-1
8.519071940E-1,2.604999840E-1,3.085999787E-1,-2.266999930E-1,4.631274936E-1
8.618337560E-1,3.666999936E-1,3.057000041E-1,-2.320999950E-1,5.308406404E-1
8.717603190E-1,4.053999782E-1,2.150999904E-1,-2.090999931E-1,5.043212818E-1
8.816868810E-1,3.443999887E-1,1.547999978E-1,8.100000210E-3,3.776771128E-1
8.916134440E-1,3.529999852E-1,1.835999936E-1,4.787999988E-1,6.225491033E-1
9.015400060E-1,5.835999846E-1,3.291999996E-1,8.241999745E-1,1.062199219E0
9.114650060E-1,7.834999561E-1,3.738999963E-1,7.443000078E-1,1.143527827E0
9.213915690E-1,8.379999995E-1,3.477999866E-1,3.937999904E-1,9.890840522E-1
9.313196940E-1,9.062999487E-1,3.488000035E-1,2.140999883E-1,9.944243785E-1
9.412446940E-1,8.587999940E-1,3.594000041E-1,1.916999966E-1,9.505023311E-1
9.511712560E-1,7.380999923E-1,3.881999850E-1,2.008999884E-1,8.578179482E-1
9.610978190E-1,5.834999681E-1,3.613999784E-1,3.317999840E-1,7.623472873E-1
9.710243810E-1,3.896999955E-1,3.835999966E-1,3.841999769E-1,6.682998325E-1
9.809493810E-1,2.087000012E-1,3.644999862E-1,2.348999977E-1,4.812420798E-1
